Date,Low,High
2/1/2010,28,46.6
2/2/2010,28.1,46.7
2/3/2010,28.2,46.9
2/4/2010,28.3,47
2/5/2010,28.4,47.2
2/6/2010,28.5,47.4
2/7/2010,28.6,47.5
2/8/2010,28.7,47.7
2/9/2010,28.8,47.9
2/10/2010,29,48.1
2/11/2010,29.1,48.3
2/12/2010,29.2,48.5
2/13/2010,29.4,48.7
2/14/2010,29.5,49
2/15/2010,29.7,49.2
2/16/2010,29.8,49.4
2/17/2010,30,49.7
2/18/2010,30.2,49.9
2/19/2010,30.4,
2/20/2010,30.6,50.5
2/21/2010,30.8,50.7
2/22/2010,31,51
2/23/2010,31.2,51.3
2/24/2010,31.4,51.6
2/25/2010,31.6,51.9
2/26/2010,31.8,52.2
2/27/2010,32,52.5
2/28/2010,32.3,52.8
